loan_amnt,term,int_rate,installment,grade,emp_length,annual_inc,dti,home_ownership,purpose,open_acc,revol_bal,revol_util,total_acc,delinq_2yrs,pub_rec,mort_acc,default
17998.0,36,8.94,571.83,B,2,100756.0,15.49,MORTGAGE,credit_card,14,5460.0,99.9,24,0,1,0,0
12296.0,36,12.98,414.18,C,6,35268.0,16.48,MORTGAGE,debt_consolidation,8,15296.0,77.2,19,1,0,0,0
19705.0,36,27.31,807.74,G,1,31791.0,34.2,MORTGAGE,car,9,12791.0,66.6,18,1,0,0,1
33317.0,36,22.96,1289.0,F,5,51826.0,7.21,MORTGAGE,debt_consolidation,10,2775.0,83.1,20,0,1,1,0
11609.0,36,11.5,382.82,B,6,98447.0,25.74,RENT,debt_consolidation,8,5114.0,92.8,23,0,0,4,0
11609.0,36,17.97,419.52,D,2,29874.0,7.7,RENT,home_improvement,11,9964.0,57.8,19,0,0,0,0
34459.0,36,14.3,1182.75,C,4,112399.0,37.95,MORTGAGE,debt_consolidation,9,4807.0,58.8,21,0,0,2,0
21173.0,60,16.27,517.93,D,9,22347.0,21.18,OWN,credit_card,11,5773.0,2.3,20,1,0,1,0
10080.0,36,13.17,340.46,C,1,51635.0,28.33,MORTGAGE,credit_card,17,10393.0,41.5,24,1,0,1,0
18500.0,60,11.42,406.12,B,4,25646.0,25.86,RENT,credit_card,17,50648.0,50.9,30,0,0,1,0
10117.0,60,20.52,270.97,E,10,12507.0,12.15,MORTGAGE,debt_consolidation,19,11048.0,23.4,32,0,0,0,0
10103.0,36,22.91,390.61,F,5,74598.0,36.05,MORTGAGE,major_purchase,8,16207.0,36.0,18,1,1,1,0
15447.0,60,25.1,454.3,F,8,53815.0,25.09,MORTGAGE,debt_consolidation,11,3338.0,36.6,24,1,0,1,0
4239.0,60,8.57,87.11,B,9,25893.0,20.41,MORTGAGE,major_purchase,13,2333.0,36.8,21,0,0,0,0
4746.0,36,23.93,186.02,F,2,43916.0,21.13,MORTGAGE,car,12,3376.0,95.6,26,0,1,3,0
9534.0,36,10.86,311.5,B,2,78049.0,35.63,RENT,credit_card,14,6799.0,58.8,25,1,0,3,0
7276.0,36,14.83,251.62,C,8,48007.0,2.36,RENT,major_purchase,5,10166.0,31.4,11,1,0,2,0
16132.0,60,25.73,480.42,F,8,53146.0,15.56,RENT,debt_consolidation,9,13101.0,30.5,18,0,0,2,0
7748.0,36,15.45,270.3,C,0,47142.0,33.67,MORTGAGE,debt_consolidation,6,19759.0,84.7,14,1,0,2,0
5725.0,36,9.53,183.47,B,3,42219.0,1.5,MORTGAGE,debt_consolidation,14,28499.0,64.2,25,0,0,0,0
32189.0,36,8.68,1018.81,B,4,41890.0,25.57,OWN,debt_consolidation,11,1012.0,85.1,19,0,0,1,0
11667.0,36,15.88,409.49,D,9,41158.0,16.13,MORTGAGE,debt_consolidation,9,3038.0,64.4,21,2,0,1,0
13912.0,36,22.54,535.2,F,4,38106.0,8.18,RENT,home_improvement,11,42760.0,91.5,22,0,1,1,0
5683.0,60,27.94,176.74,G,10,32520.0,24.46,RENT,debt_consolidation,11,11488.0,40.2,21,0,0,5,1
9637.0,36,23.11,373.6,F,10,47675.0,33.24,RENT,car,8,7282.0,84.2,17,0,0,1,0
14279.0,60,25.17,420.53,F,9,40784.0,18.69,RENT,credit_card,9,873.0,17.6,18,2,0,1,1
6697.0,60,22.2,185.73,E,7,31476.0,5.87,RENT,debt_consolidation,10,2219.0,66.9,15,1,0,2,0
16738.0,36,25.6,670.82,F,4,94808.0,12.25,MORTGAGE,medical,7,19628.0,36.4,13,0,0,1,0
9317.0,36,6.75,286.62,A,0,125440.0,39.25,MORTGAGE,car,17,5072.0,52.5,31,0,0,1,0
